operation,operationLabel,backend,pushes,cacheState,maintenanceMode,scoreMillis,scoreErrorMillis,p50Millis,p95Millis,p99Millis,activePacks,packPayloadBytes,packIndexBytes,smallPacks,smallPackRatioBasisPoints,storedExtensionBytes,unreachableLogicalBytes,maintenanceElapsedMillis,maintenanceStoredByteDelta,maintenancePackReduction,jgitDfsMidxExtensionAvailable,jdkVersion,jmhMode,latencySavingMillis,latencySavingPercent,breakEvenReads,beneficial
incrementalFetchTraversal,Incremental-fetch traversal,hsqldb,10,warm,read-optimized,0.0866603353637246,0.002506211323772176,0.083072,0.10882560000000009,0.123904,2,95258,3012,2,10000,100661,8449,99.0,-6608,8,True,21.0.12.1,sample,-0.012396033772732545,-16.691779909280307,,False
lookupMissingObject,Missing-object lookup,hsqldb,10,warm,none,0.00020136934359417513,1.5208209752321073e-05,0.00016999999999999999,0.00019099999999999998,0.000281,10,95514,11588,10,10000,107269,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
lookupMissingObject,Missing-object lookup,hsqldb,10,warm,compact-only,0.00028089403586820506,0.00026065393371388075,0.00016099999999999998,0.00018999999999999998,0.00029,2,95258,3012,2,10000,98409,8449,67.0,-8860,8,True,21.0.12.1,sample,-7.952469227402994e-05,-39.49195585317005,,False
lookupMissingObject,Missing-object lookup,hsqldb,10,warm,read-optimized,0.00021574822181523915,2.8355816258816678e-05,0.00015999999999999999,0.00017999999999999998,0.00031999999999999997,2,95258,3012,2,10000,100661,8449,80.0,-6608,8,True,21.0.12.1,sample,-1.4378878221064017e-05,-7.1405497800311375,,False
lookupNewestObject,Newest-object lookup,hsqldb,10,warm,none,0.00401224035932744,0.00032485517084409254,0.0037159999999999997,0.004112,0.006488,10,95514,11588,10,10000,107269,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
lookupNewestObject,Newest-object lookup,hsqldb,10,warm,compact-only,0.004080284061752555,0.0004346845250728409,0.0036839999999999998,0.003944,0.006032,2,95258,3012,2,10000,98409,8449,65.0,-8860,8,True,21.0.12.1,sample,-6.804370242511574e-05,-1.6959029452692538,,False
lookupNewestObject,Newest-object lookup,hsqldb,10,warm,read-optimized,0.004277874589615977,0.0006029137297092093,0.003724,0.0042,0.006702719999999972,2,95258,3012,2,10000,100661,8449,85.0,-6608,8,True,21.0.12.1,sample,-0.0002656342302885372,-6.620596138289799,,False
lookupOldestObject,Oldest-object lookup,hsqldb,10,warm,none,0.0040180604161225725,0.00040293050302158545,0.0036839999999999998,0.0039959999999999996,0.006096,10,95514,11588,10,10000,107269,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
lookupOldestObject,Oldest-object lookup,hsqldb,10,warm,compact-only,0.004074342587071912,0.00042616476993582254,0.0036839999999999998,0.0039959999999999996,0.005967999999999999,2,95258,3012,2,10000,98409,8449,56.0,-8860,8,True,21.0.12.1,sample,-5.6282170949339266e-05,-1.4007298328194764,,False
lookupOldestObject,Oldest-object lookup,hsqldb,10,warm,read-optimized,0.0038888984464902163,0.0003066847739913039,0.0036439999999999997,0.003832,0.0060079999999999995,2,95258,3012,2,10000,100661,8449,77.0,-6608,8,True,21.0.12.1,sample,0.0001291619696323562,3.2145352796112876,596151,True
